,HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
1735,1,1,26.02,1.35,5.599,6.448,6.512,6.915,-6.221,8.539,1.055,2.318,29.68,19.24,0.0131,0.0058,0.0147,0.045,7852,CCCN
1736,0,1,15.79,1.91,4.899,5.729,5.798,5.909,-5.483,6.868,1.015,1.385,49.59,20.79,0.0,0.0117,0.0188,0.0,8027,c1ccc[nH]1
1737,1,1,19.03,1.66,4.533,4.699,4.814,4.833,-5.246,5.2,2.229,-0.046,101.07,55.77,0.0623,0.0005,0.0232,0.0022,6890,CN(Cc1c[nH]c2c1cccc2)C
1738,2,0,26.3,2.28,5.602,5.763,5.799,5.965,-6.207,6.528,3.632,0.321,7.65,64.94,0.0119,0.0743,0.0016,0.0056,7782,CCC(=O)OC/C=C(/CCC=C(C)C)\C
1739,1,1,12.03,0.91,5.117,5.279,5.35,5.472,-5.91,5.948,2.228,0.038,32.34,48.63,0.002,0.0007,0.0065,0.0033,1206,CN[C@H](Cc1ccccc1)C
1740,4,3,120.69,4.05,5.195,5.49,5.769,5.809,-6.536,6.716,2.351,0.18,88.27,59.34,0.0025,0.0091,0.032,0.0281,663,SCC[C@H](CCCCC(=N)O)S
1741,4,2,74.6,2.74,4.387,5.456,5.803,6.219,-7.04,6.199,-0.199,-0.841,90.6,34.09,0.0,0.0006,0.0008,0.0032,376,CC(=O)C[C@@H](CC(=O)O)O
1742,2,1,134.73,0.97,3.691,3.706,3.719,3.856,-7.938,4.4,2.349,-3.538,172.72,52.18,0.0045,0.0041,0.0048,0.0019,4511,OC(=N)c1cc(cc(c1)N(=O)=O)N(=O)=O
1743,6,3,85.52,1.66,5.385,5.488,5.639,5.833,-5.78,7.042,-2.549,1.263,84.01,55.63,0.0085,0.017,0.0107,0.0218,2095,OC[C@@H]1[C@H](O)[C@H]([C@H]2[C@H]1OC(=N2)N(C)C)O
1744,3,2,43.7,3.68,4.991,5.499,5.608,5.799,-5.733,7.355,-0.319,1.622,12.65,40.98,0.013,0.0084,0.0193,0.0133,8498,OCCN(C(C)C)CCO
1745,2,1,37.3,4.03,5.549,6.34,7.127,7.159,-7.214,7.456,1.651,0.242,72.51,35.42,0.0012,0.0077,0.0085,0.0028,7413,OC(=O)C1CCCCC1
1746,2,0,18.46,2.19,5.02,5.402,5.569,5.759,-5.739,5.948,1.704,0.21,14.53,39.43,0.0383,0.0056,0.063,0.0108,7043,COc1ccccc1OC
1747,4,2,113.51,4.25,3.328,3.532,3.878,4.052,-6.406,3.85,2.009,-2.555,191.67,56.12,0.1135,0.0002,0.1129,0.0019,1894,O=N(=O)c1cccc2c1nn(c2)C(=[NH2])[NH]
1748,5,3,101.7,3.74,5.345,5.393,5.423,5.982,-6.049,6.528,0.956,0.479,176.29,46.63,0.0039,0.001,0.0033,0.0214,4395,CC(=N)NCCC[C@@H](C(=O)O)N
1749,1,0,17.07,3.13,4.125,5.037,5.226,5.425,-6.335,5.802,3.677,-0.533,46.68,65.3,0.0003,0.0024,0.0017,0.003,6652,O=CC[C@@H](c1ccc(cc1)C(C)(C)C)C
1750,3,0,43.37,5.25,5.089,5.534,6.425,6.861,-7.636,6.689,0.24,-0.947,30.51,25.52,0.0009,0.0004,0.0012,0.0012,7940,O=C1CCCC(=O)O1
